,Month,Coconut Oil Price,Coconut Oil Consumption(mil tonnes),Coconut Oil Price Change,Olive Oil Price,Olive Oil Consumption(mil tonnes),Olive Oil Price Change,Palm Kernel Oil Price,Palm Kernel Oil Consumption(mil tonnes),Palm Kernel Oil Price Change,Palm Oil Price,Palm Oil Consumption(mil tonnes),Palm Oil Price Change,Peanut Oil Price,Peanut Oil Consumption(mil tonnes),Peanut Oil Price Change,Rapeseed Oil Price,Rapeseed Oil Consumption(mil tonnes),Rapeseed Oil Price Change,Soybean Oil Price,Soybean Oil Consumption(mil tonnes),Soybean Oil Price Change,Sunflower Oil Price,Sunflower Oil Consumption(mil tonnes),Sunflower Oil Price Change
13,Jan-13,828.64,3.34,5.56%,"3,957.60",2.97,19.25%,801.36,6.58,6.35%,884.52,57.52,4.86%,"2,270.76",5.68,-9.25%,"1,210.92",26.17,1.91%,"1,192.35",45.27,2.91%,"1,298.48",14.14,2.09%
13,Feb-13,853.25,3.34,2.97%,"4,229.45",2.97,6.87%,836,6.58,4.32%,919.58,57.52,3.96%,"1,821.71",5.68,-19.78%,"1,216.99",26.17,0.50%,"1,173.48",45.27,-1.58%,"1,285.75",14.14,-0.98%
13,Mar-13,818.75,3.34,-4.04%,"4,094.76",2.97,-3.18%,832.75,6.58,-0.39%,891.5,57.52,-3.05%,"1,763.70",5.68,-3.18%,"1,161.66",26.17,-4.55%,"1,117.43",45.27,-4.78%,"1,249.76",14.14,-2.80%
13,Apr-13,791.43,3.34,-3.34%,"4,005.37",2.97,-2.18%,830.71,6.58,-0.24%,874.17,57.52,-1.94%,"1,763.70",5.68,0.00%,"1,131.82",26.17,-2.57%,"1,094.52",45.27,-2.05%,"1,221.14",14.14,-2.29%
13,May-13,822.5,3.34,3.93%,"3,847.06",2.97,-3.95%,827.5,6.58,-0.39%,879.47,57.52,0.61%,"1,780.73",5.68,0.97%,"1,116.66",26.17,-1.34%,"1,073.20",45.27,-1.95%,"1,227.73",14.14,0.54%
13,Jun-13,890.63,3.34,8.28%,"3,955.85",2.97,2.83%,853.5,6.58,3.14%,876.88,57.52,-0.29%,"1,807.79",5.68,1.52%,"1,147.34",26.17,2.75%,"1,037.75",45.27,-3.30%,"1,245.25",14.14,1.43%
13,Jul-13,860.43,3.34,-3.39%,"3,895.24",2.97,-1.53%,835.54,6.58,-2.10%,827.09,57.52,-5.68%,"1,816.31",5.68,0.47%,"1,008.78",26.17,-12.08%,990.31,45.27,-4.57%,"1,210.87",14.14,-2.76%
13,Aug-13,892.61,3.34,3.74%,"3,851.23",2.97,-1.13%,868.64,6.58,3.96%,819.29,57.52,-0.94%,"1,807.79",5.68,-0.47%,993.85,26.17,-1.48%,994.65,45.27,0.44%,"1,111.67",14.14,-8.19%
13,Sep-13,985.24,3.34,10.38%,"3,827.17",2.97,-0.62%,909.76,6.58,4.73%,826.25,57.52,0.85%,"1,797.87",5.68,-0.55%,983.52,26.17,-1.04%,"1,019.72",45.27,2.52%,"1,005.71",14.14,-9.53%
13,Oct-13,985.65,3.34,0.04%,"3,737.97",2.97,-2.33%,912.17,6.58,0.26%,859.66,57.52,4.04%,"1,764.66",5.68,-1.85%,"1,010.85",26.17,2.78%,990.96,45.27,-2.82%,"1,008.48",14.14,0.28%
13,Nov-13,"1,274.50",3.34,29.31%,"3,703.16",2.97,-0.93%,"1,108.10",6.58,21.48%,904.05,57.52,5.16%,"1,754.88",5.68,-0.55%,"1,021.70",26.17,1.07%,989.83,45.27,-0.11%,"1,004.05",14.14,-0.44%
13,Dec-13,"1,270.00",3.34,-0.35%,"3,628.63",2.97,-2.01%,"1,147.00",6.58,3.51%,886.25,57.52,-1.97%,"1,697.56",5.68,-3.27%,"1,007.11",26.17,-1.43%,990.52,45.27,0.07%,996,14.14,-0.80%
14,Jan-14,"1,269.09",3.29,-0.07%,"3,601.01",2.65,-0.76%,"1,158.64",7.21,1.01%,862.63,57.9,-2.67%,"1,560.64",5.37,-8.07%,948.01,27.04,-5.87%,942.1,47.73,-4.89%,951.82,14.11,-4.44%
14,Feb-14,"1,364.00",3.29,7.48%,"3,541.05",2.65,-1.67%,"1,292.00",7.21,11.51%,904.34,57.9,4.84%,"1,409.80",5.37,-9.67%,971.77,27.04,2.51%,970.96,47.73,3.06%,953,14.11,0.12%
14,Mar-14,"1,389.05",3.29,1.84%,"3,586.63",2.65,1.29%,"1,376.90",7.21,6.57%,953.81,57.9,5.47%,"1,366.87",5.37,-3.05%,"1,009.95",27.04,3.93%,996.67,47.73,2.65%,984.76,14.11,3.33%
14,Apr-14,"1,356.13",3.29,-2.37%,"3,565.62",2.65,-0.59%,"1,291.75",7.21,-6.18%,926.63,57.9,-2.85%,"1,366.87",5.37,0.00%,"1,011.42",27.04,0.15%,"1,001.69",47.73,0.50%,952.25,14.11,-3.30%
14,May-14,"1,413.25",3.29,4.21%,"3,553.72",2.65,-0.33%,"1,255.25",7.21,-2.83%,898.42,57.9,-3.04%,"1,366.87",5.37,0.00%,954.94,27.04,-5.58%,961.81,47.73,-3.98%,951.5,14.11,-0.08%
14,Jun-14,"1,393.25",3.29,-1.42%,"3,625.83",2.65,2.03%,"1,233.75",7.21,-1.71%,861.88,57.9,-4.07%,"1,366.87",5.37,0.00%,948.33,27.04,-0.69%,925.82,47.73,-3.74%,942.38,14.11,-0.96%
14,Jul-14,"1,255.22",3.29,-9.91%,"3,820.55",2.65,5.37%,"1,106.30",7.21,-10.33%,853.69,57.9,-0.95%,"1,373.38",5.37,0.48%,892.08,27.04,-5.93%,897.43,47.73,-3.07%,908.04,14.11,-3.64%
